epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1978.62,1.02502,0.50736,0.85867,0.99914,0.99216,0.995,0.77808,0.8407,0.43431,0.84058,0.0013367,0.0013367,0.0013367
69,2007.21,1.066,0.49734,0.85315,1,0.99181,0.995,0.78998,0.80919,0.42771,0.83692,0.0013268,0.0013268,0.0013268
70,2035.26,0.95524,0.479,0.85562,0.99856,0.99216,0.995,0.7985,0.78572,0.42515,0.83534,0.0013169,0.0013169,0.0013169
71,2063.13,1.02816,0.49394,0.85102,0.99787,0.99085,0.99497,0.78596,0.81156,0.41988,0.83625,0.001307,0.001307,0.001307
72,2092.29,1.04774,0.50467,0.85978,0.99839,0.99216,0.99496,0.79187,0.80238,0.42502,0.83493,0.0012971,0.0012971,0.0012971
73,2120.51,0.95247,0.47481,0.8561,0.99831,0.99477,0.99497,0.79452,0.79027,0.41879,0.83397,0.0012872,0.0012872,0.0012872
74,2148.54,0.98266,0.47438,0.85747,0.9986,0.99608,0.995,0.79121,0.80553,0.42624,0.83483,0.0012773,0.0012773,0.0012773
75,2176.14,1.01613,0.50554,0.84715,0.99946,0.99608,0.995,0.788,0.81537,0.43011,0.83969,0.0012674,0.0012674,0.0012674
76,2204.69,0.9635,0.47272,0.85148,1,0.99549,0.995,0.79224,0.78796,0.41543,0.83647,0.0012575,0.0012575,0.0012575
77,2232.66,0.94043,0.46793,0.84666,0.99996,0.99608,0.995,0.789,0.81647,0.41542,0.83603,0.0012476,0.0012476,0.0012476
78,2261.33,1.04652,0.49466,0.85223,0.99947,0.99477,0.995,0.78967,0.80791,0.41279,0.83547,0.0012377,0.0012377,0.0012377
79,2289.04,0.94158,0.46604,0.84597,0.99696,0.99346,0.99499,0.80382,0.77766,0.40405,0.83493,0.0012278,0.0012278,0.0012278
80,2316.74,0.95592,0.47427,0.84969,0.99737,0.99346,0.99499,0.80037,0.77897,0.40763,0.837,0.0012179,0.0012179,0.0012179
81,2345.97,1.02189,0.49859,0.84827,1,0.99438,0.995,0.79036,0.82412,0.41305,0.83873,0.001208,0.001208,0.001208
82,2374.84,1.00962,0.4827,0.84907,1,0.99434,0.995,0.79947,0.7903,0.41354,0.83546,0.0011981,0.0011981,0.0011981
83,2404.2,0.98804,0.47768,0.84673,0.99869,0.99332,0.99496,0.79612,0.77858,0.4175,0.83529,0.0011882,0.0011882,0.0011882
84,2432.97,0.99284,0.47687,0.84553,0.99869,0.99312,0.99497,0.79176,0.78902,0.41063,0.8372,0.0011783,0.0011783,0.0011783
85,2460.75,0.98161,0.48228,0.85133,0.99955,0.99346,0.995,0.80185,0.77012,0.39774,0.83403,0.0011684,0.0011684,0.0011684
86,2489.88,1.03488,0.4867,0.84665,0.99814,0.99346,0.995,0.79953,0.77303,0.40588,0.83208,0.0011585,0.0011585,0.0011585
87,2519.61,1.01311,0.48012,0.84989,0.99892,0.99477,0.995,0.79853,0.78774,0.41223,0.83404,0.0011486,0.0011486,0.0011486
88,2548.89,0.98613,0.46606,0.84757,0.99903,0.99477,0.995,0.79333,0.77225,0.40269,0.83464,0.0011387,0.0011387,0.0011387
89,2577.13,0.96306,0.47308,0.85868,0.99969,0.99477,0.995,0.79389,0.77494,0.40504,0.8361,0.0011288,0.0011288,0.0011288
90,2605.46,0.94338,0.46141,0.85554,0.99835,0.99477,0.995,0.79171,0.79007,0.40606,0.83593,0.0011189,0.0011189,0.0011189
91,2634.83,0.97344,0.4605,0.8489,0.99943,0.99477,0.995,0.80782,0.76194,0.39519,0.83119,0.001109,0.001109,0.001109
92,2664.03,0.9603,0.45949,0.84942,0.99922,0.99477,0.995,0.80347,0.76762,0.40247,0.83121,0.0010991,0.0010991,0.0010991
93,2693.03,0.99659,0.47673,0.84673,1,0.99457,0.995,0.79798,0.77736,0.39889,0.83206,0.0010892,0.0010892,0.0010892
94,2721.69,1.00693,0.47553,0.84758,0.99986,0.99477,0.995,0.8034,0.76609,0.39655,0.83071,0.0010793,0.0010793,0.0010793
95,2752.8,0.9631,0.46896,0.84144,1,0.99459,0.995,0.80538,0.76775,0.39769,0.83042,0.0010694,0.0010694,0.0010694
96,2781.47,0.98214,0.45842,0.84129,0.99887,0.99346,0.995,0.7994,0.77484,0.3975,0.83044,0.0010595,0.0010595,0.0010595
97,2809.02,0.93292,0.44585,0.84953,0.99903,0.99346,0.995,0.80102,0.75418,0.39523,0.8316,0.0010496,0.0010496,0.0010496
98,2838.21,0.98064,0.46726,0.83798,0.99906,0.99346,0.995,0.79607,0.76037,0.4015,0.83202,0.0010397,0.0010397,0.0010397
99,2868.08,0.95214,0.46487,0.85312,0.99869,0.99477,0.995,0.78454,0.81603,0.41209,0.83632,0.0010298,0.0010298,0.0010298
100,2896.96,0.98724,0.45457,0.84753,1,0.9969,0.995,0.78613,0.80421,0.40788,0.83521,0.0010199,0.0010199,0.0010199
101,2934.89,1.04905,0.49004,0.85135,0.99931,0.99477,0.995,0.79496,0.76545,0.39921,0.8328,0.00101,0.00101,0.00101
102,2966.57,0.97508,0.46772,0.84587,0.99869,0.99541,0.995,0.78717,0.79852,0.39913,0.8366,0.0010001,0.0010001,0.0010001
103,2993.73,0.88574,0.43857,0.84343,0.99957,0.99477,0.995,0.79656,0.77999,0.38832,0.83128,0.0009902,0.0009902,0.0009902
104,3022.52,0.93827,0.44879,0.84516,0.9997,0.99477,0.995,0.79562,0.78826,0.40011,0.83148,0.0009803,0.0009803,0.0009803
105,3050.82,0.96649,0.45521,0.84972,0.99748,0.99477,0.995,0.80589,0.75651,0.38585,0.82923,0.0009704,0.0009704,0.0009704
106,3079.49,0.95299,0.44776,0.83937,1,0.99555,0.995,0.80457,0.75901,0.38622,0.82913,0.0009605,0.0009605,0.0009605
107,3108.15,0.9745,0.45153,0.84557,0.99869,0.99508,0.995,0.80691,0.74758,0.38622,0.82865,0.0009506,0.0009506,0.0009506
